Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Electric Car	They Might Be Giants & Robin Goldwasser		Here Comes Science		Children's Music	7288765	202	1	1	5	19	2009	10-01-20 8:31 PM	10-01-20 8:29 PM	256	44100		Purchased AAC audio file			6	14-01-30 9:30 AM	1	14-01-30 9:23 AM		Macintosh HD:Users:pauline:Music:iTunes:iTunes Music:They Might Be Giants:Here Comes Science:05 Electric Car.m4a
Electric Avenue	Eddy Grant	Eddy Grant	The Very Best of Eddy Grant - Road to Reparation		Reggae	7890220	224	1	1	1	11	2008	12-06-15 5:22 PM	12-06-15 5:18 PM	256	44100		Purchased AAC audio file			20	14-01-23 9:29 AM				Macintosh HD:Users:pauline:Music:iTunes:iTunes Music:Eddy Grant:The Very Best of Eddy Grant - Road to Reparation:01 Electric Avenue.m4a
Coulomb	Sesqui		Futurama-Lab. 4		Electronic	6709766	192	1	1	8	10	2007	12-06-15 5:22 PM	12-06-15 5:18 PM	256	44100		Purchased AAC audio file								Macintosh HD:Users:pauline:Music:iTunes:iTunes Music:Futurama Laboratory:Futurama-Lab. 4:08 Coulomb.m4a
Electric Field	Crazy Erg	Crazy Erg	Electric Field - Single		Dance	14058748	411	1	1	1	3	2011	12-06-15 5:22 PM	12-06-15 5:18 PM	256	44100		Purchased AAC audio file			5	14-01-14 9:26 AM	1	14-01-14 9:19 AM		Macintosh HD:Users:pauline:Music:iTunes:iTunes Music:Crazy Erg:Electric Field - Single:01 Electric Field.m4a
Dipole	Superferric	Superferric	La Esencia 02 - EP		Dance	16193037	484	1	1	7	8	2011	12-06-15 5:21 PM	12-06-15 5:18 PM	256	44100		Purchased AAC audio file			2	14-02-04 9:28 AM				Macintosh HD:Users:pauline:Music:iTunes:iTunes Music:Compilations:La Esencia 02 - EP:07 Dipole.m4a
Gauss	Satyric Mind		Chill In Paradise - 25 Lounge & Chillout Tracks		Electronic	10344940	302	1	1	20	25	2009	12-06-15 5:22 PM	12-06-15 5:18 PM	256	44100		Purchased AAC audio file			3	14-01-21 9:25 AM				Macintosh HD:Users:pauline:Music:iTunes:iTunes Music:Compilations:Chill In Paradise - 25 Lounge & Chillout Tracks:20 Gauss.m4a
Potential	Blue Skies		The Blackout Sessions		Alternative	6130123	197	1	1	7	11	2009	12-06-15 5:22 PM	12-06-15 5:18 PM	256	44100		Purchased AAC audio file			8	14-01-28 5:53 PM	1	14-01-28 9:15 AM		Macintosh HD:Users:pauline:Music:iTunes:iTunes Music:Blue Skies:The Blackout Sessions:07 Potential.m4a
Capacitance	Anton Chasm		Capacitance - Single		Dance	12869080	372	1	1	1	1	2010	12-06-15 5:21 PM	12-06-15 5:18 PM	256	44100		Purchased AAC audio file			4	14-02-11 9:25 AM				Macintosh HD:Users:pauline:Music:iTunes:iTunes Music:Anton Chasm:Capacitance - Single:01 Capacitance.m4a
Flux Capacitor	Jaxshop		Dubstep for Film & TV Music		Electronic	8110835	224	1	1	7	40	2011	12-06-15 5:21 PM	12-06-15 5:18 PM	256	44100		Purchased AAC audio file								Macintosh HD:Users:pauline:Music:iTunes:iTunes Music:Compilations:Dubstep for Film & TV Music:07 Flux Capacitor.m4a
Current	Jack Broad		Current		Jazz	11406100	344	1	1	2	9	2008	12-06-15 5:20 PM	12-06-15 5:18 PM	256	44100		Purchased AAC audio file			13	14-02-25 9:27 AM				Macintosh HD:Users:pauline:Music:iTunes:iTunes Music:Jack Broad:Current:02 Current.m4a
Ohm (Transfix Mix)	Adham Shaikh, Gemma Luna & Miroslav Dorval		Fusion		World	13730302	408	1	1	5	11	2006	12-06-15 5:21 PM	12-06-15 5:18 PM	256	44100		Purchased AAC audio file		((Transfix Mix))	8	14-03-04 9:27 AM				Macintosh HD:Users:pauline:Music:iTunes:iTunes Music:Adham Shaikh:Fusion:05 Ohm (Transfix Mix).m4a
Semiconductor	Raw Conscience	Höhn, Matthias, Ladde & Benny	Alice In Bassland		Dance	12417730	365	1	1	7	11	2008	12-06-15 5:20 PM	12-06-15 5:18 PM	256	44100		Purchased AAC audio file			3	14-02-05 9:29 AM				Macintosh HD:Users:pauline:Music:iTunes:iTunes Music:Raw Conscience:Alice In Bassland:07 Semiconductor.m4a
The Resistance	Sam Roberts		Chemical City		Rock	11759628	313	1	1	9	10	2006	12-06-15 5:20 PM	12-06-15 5:18 PM	256	44100		Purchased AAC audio file			1	14-03-11 9:24 AM				Macintosh HD:Users:pauline:Music:iTunes:iTunes Music:Sam Roberts:Chemical City:09 The Resistance.m4a
Exponential	Andrew Rayel	A. Rayel	A State of Trance - Future Favorite Best of 2012		Dance	16545854	466	2	2	7	20	2012	14-03-13 8:14 AM	13-04-09 9:12 AM	256	44100		Purchased AAC audio file								Macintosh HD:Users:pauline:Music:iTunes:iTunes Music:Armin van Buuren:A State of Trance - Future Favorite Best of 2012:2-07 Exponential.m4a
